Curso,Empresa,Data Início,Data Término
88101-Engenharia Industrial Química,3GEN CONSULTORIA EMPRESARIAL LTDA,23/03/2018,19/12/2018
88201-Engenharia de Materiais,3GEN CONSULTORIA EMPRESARIAL LTDA,20/07/2017,31/12/2017
88052-Engenharia Química,3M DO BRASIL LTDA,15/01/2018,31/12/2018
88052-Engenharia Química,3M DO BRASIL LTDA,15/02/2018,14/02/2019
88052-Engenharia Química,3M DO BRASIL LTDA,24/07/2017,23/07/2018
88052-Engenharia Química,3M DO BRASIL LTDA,23/07/2018,31/12/2018
88052-Engenharia Química,3M DO BRASIL LTDA,02/08/2021,31/07/2022
88052-Engenharia Química,3M DO BRASIL LTDA,15/02/2019,20/12/2019
88052-Engenharia Química,3M DO BRASIL LTDA,12/08/2019,31/07/2020
88052-Engenharia Química,3M DO BRASIL LTDA,14/08/2020,31/05/2021
88101-Engenharia Industrial Química,3M DO BRASIL LTDA,01/01/2016,31/07/2016
88101-Engenharia Industrial Química,3M DO BRASIL LTDA,01/08/2016,26/06/2017
88152-Engenharia Bioquímica,3M DO BRASIL LTDA,11/01/2021,25/11/2021
88052-Engenharia Química,99 TECNOLOGIA LTDA,10/01/2022,10/01/2023
88051-Engenharia Química,A.C. NIELSEN DO BRASIL LTDA,11/09/2017,29/06/2018
88051-Engenharia Química,A.C. NIELSEN DO BRASIL LTDA,04/10/2021,31/07/2022
88051-Engenharia Química,A.C. NIELSEN DO BRASIL LTDA,01/08/2022,31/12/2022
88052-Engenharia Química,A.C. NIELSEN DO BRASIL LTDA,13/08/2018,07/08/2019
88052-Engenharia Química,A.C. NIELSEN DO BRASIL LTDA,03/09/2018,01/07/2019
88052-Engenharia Química,A.C. NIELSEN DO BRASIL LTDA,13/08/2019,20/12/2019
88052-Engenharia Química,A.C. NIELSEN DO BRASIL LTDA,08/01/2018,14/12/2018
88052-Engenharia Química,A.C. NIELSEN DO BRASIL LTDA,01/01/2022,31/12/2022
