;Curso;Empresa;Data Início;Data Término;Ano Início;Ano Término;Período;Latitude;Longitude;Cidade;Localização;;
14;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;09/11/2017 00:00;29/06/2018 00:00;2017;2018;1;-2.364.337.517;-4.682.693.459;São Paulo;3;;
15;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;10/04/2021 00:00;31/07/2022 00:00;2021;2022;1;-2.364.337.517;-4.682.693.459;São Paulo;3;;
16;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;08/01/2022 00:00;31/12/2022 00:00;2022;2022;0;-2.364.337.517;-4.682.693.459;São Paulo;3;;
17;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;13/08/2018 00:00;08/07/2019 00:00;2018;2019;1;-2.364.337.517;-4.682.693.459;São Paulo;3;;
18;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;09/03/2018 00:00;07/01/2019 00:00;2018;2019;1;-2.364.337.517;-4.682.693.459;São Paulo;3;;
19;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;13/08/2019 00:00;20/12/2019 00:00;2019;2019;0;-2.364.337.517;-4.682.693.459;São Paulo;3;;
20;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;01/08/2018 00:00;14/12/2018 00:00;2018;2018;0;-2.364.337.517;-4.682.693.459;São Paulo;3;;
21;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;01/01/2022 00:00;31/12/2022 00:00;2022;2022;0;-2.364.337.517;-4.682.693.459;São Paulo;3;;
22;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;13/08/2018 00:00;08/01/2019 00:00;2018;2019;1;-2.364.337.517;-4.682.693.459;São Paulo;3;;
23;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;02/04/2019 00:00;12/02/2019 00:00;2019;2019;0;-2.364.337.517;-4.682.693.459;São Paulo;3;;
24;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;06/01/2021 00:00;31/12/2021 00:00;2021;2021;0;-2.364.337.517;-4.682.693.459;São Paulo;3;;
25;Engenharia Bioquimica;A.C. NIELSEN DO BRASIL LTDA;13/08/2018 00:00;31/05/2019 00:00;2018;2019;1;-2.364.337.517;-4.682.693.459;São Paulo;3;;
26;Engenharia Bioquimica;A.C. NIELSEN DO BRASIL LTDA;10/07/2019 00:00;10/06/2020 00:00;2019;2020;1;-2.364.337.517;-4.682.693.459;São Paulo;3;;
27;Engenharia Bioquimica;A.C. NIELSEN DO BRASIL LTDA;10/07/2020 00:00;19/02/2021 00:00;2020;2021;1;-2.364.337.517;-4.682.693.459;São Paulo;3;;
28;Engenharia Bioquimica;A.C. NIELSEN DO BRASIL LTDA;05/02/2017 00:00;15/09/2017 00:00;2017;2017;0;-2.364.337.517;-4.682.693.459;São Paulo;3;;
29;Engenharia Bioquimica;A.C. NIELSEN DO BRASIL LTDA;13/08/2018 00:00;08/12/2019 00:00;2018;2019;1;-2.364.337.517;-4.682.693.459;São Paulo;3;;
30;Engenharia Bioquimica;A.C. NIELSEN DO BRASIL LTDA;13/08/2019 00:00;11/11/2019 00:00;2019;2019;0;-2.364.337.517;-4.682.693.459;São Paulo;3;;
31;Engenharia de Materiais;A.C. NIELSEN DO BRASIL LTDA;10/10/2017 00:00;10/03/2018 00:00;2017;2018;1;-2.364.337.517;-4.682.693.459;São Paulo;3;;
32;Engenharia de Materiais;A.C. NIELSEN DO BRASIL LTDA;10/10/2018 00:00;31/12/2018 00:00;2018;2018;0;-2.364.337.517;-4.682.693.459;São Paulo;3;;
33;Engenharia Física;A.C. NIELSEN DO BRASIL LTDA;10/09/2017 00:00;12/01/2017 00:00;2017;2017;0;-2.364.337.517;-4.682.693.459;São Paulo;3;;
48;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;09/11/2018 00:00;22/06/2022 00:00;2018;2022;4;-2.364.337.517;-4.682.693.459;São Paulo;3;;
51;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;13/08/2019 00:00;25/03/2022 00:00;2019;2022;3;-2.364.337.517;-4.682.693.459;São Paulo;3;;
52;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;09/03/2019 00:00;01/01/2023 00:00;2019;2023;4;-2.364.337.517;-4.682.693.459;São Paulo;3;;
53;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;13/08/2020 00:00;19/08/2022 00:00;2020;2022;2;-2.364.337.517;-4.682.693.459;São Paulo;3;;
54;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;01/08/2019 00:00;16/05/2022 00:00;2019;2022;3;-2.364.337.517;-4.682.693.459;São Paulo;3;;
56;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;13/08/2019 00:00;28/09/2021 00:00;2019;2021;2;-2.364.337.517;-4.682.693.459;São Paulo;3;;
57;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;02/04/2020 00:00;20/07/2022 00:00;2020;2022;2;-2.364.337.517;-4.682.693.459;São Paulo;3;;
58;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;06/01/2022 00:00;08/03/2023 00:00;2022;2023;1;-2.364.337.517;-4.682.693.459;São Paulo;3;;
59;Engenharia Bioquimica;A.C. NIELSEN DO BRASIL LTDA;13/08/2019 00:00;17/12/2021 00:00;2019;2021;2;-2.364.337.517;-4.682.693.459;São Paulo;3;;
62;Engenharia Bioquimica;A.C. NIELSEN DO BRASIL LTDA;05/02/2018 00:00;13/03/2020 00:00;2018;2020;2;-2.364.337.517;-4.682.693.459;São Paulo;3;;
63;Engenharia Bioquimica;A.C. NIELSEN DO BRASIL LTDA;13/08/2020 00:00;15/09/2022 00:00;2020;2022;2;-2.364.337.517;-4.682.693.459;São Paulo;3;;
64;Engenharia Bioquimica;A.C. NIELSEN DO BRASIL LTDA;13/08/2021 00:00;15/09/2022 00:00;2021;2022;1;-2.364.337.517;-4.682.693.459;São Paulo;3;;
